title,category,price_gbp,rating,availability,upc,scraped_at
It's Only the Himalayas,Travel,45.17,2,19,a22124811bfa8350,2026-03-31 17:00:33
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,15,ce60436f52c5ee68,2026-03-31 17:00:33
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,14,f9705c362f070608,2026-03-31 17:00:33
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,8,1809259a5a5f1d8d,2026-03-31 17:00:33
Under the Tuscan Sun,Travel,37.33,3,7,a94350ee74deaa07,2026-03-31 17:00:33
A Summer In Europe,Travel,44.34,2,7,cc1936a9f4e93477,2026-03-31 17:00:33
The Great Railway Bazaar,Travel,30.54,1,6,48736df57e7bec9f,2026-03-31 17:00:33
A Year in Provence (Provence #1),Travel,56.88,4,6,9e60929f521fa280,2026-03-31 17:00:33
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,3,366a236aa1ea6f07,2026-03-31 17:00:33
Neither Here nor There: Travels in Europe,Travel,38.95,3,3,747cf7fca2ccdbd4,2026-03-31 17:00:33
"1,000 Places to See Before You Die",Travel,26.08,5,1,228ba5e7577e1d49,2026-03-31 17:00:33
Sharp Objects,Mystery,47.82,4,20,e00eb4fd7b871a48,2026-03-31 17:00:33
"In a Dark, Dark Wood",Mystery,19.63,1,18,19ed25f4641d5efd,2026-03-31 17:00:33
The Past Never Ends,Mystery,56.5,4,16,5ee94540d0749ea0,2026-03-31 17:00:33
A Murder in Time,Mystery,16.64,1,16,f733e8c19d40ec2e,2026-03-31 17:00:33
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,15,c7b5183f4d1d4efe,2026-03-31 17:00:33
The Last Mile (Amos Decker #2),Mystery,54.21,2,14,3bc89353f7e3a3cc,2026-03-31 17:00:33
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,14,0c7b9cf2b7662b65,2026-03-31 17:00:33
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,14,2d1e337aaf341858,2026-03-31 17:00:33
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,14,4416c474713ec1f5,2026-03-31 17:00:33
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,14,63ee5bc46066a8a8,2026-03-31 17:00:33
Poisonous (Max Revere Novels #3),Mystery,26.8,3,12,abdd91e96515a617,2026-03-31 17:00:33
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,12,e7fe3bf2768602cf,2026-03-31 17:00:33
Most Wanted,Mystery,35.28,3,12,c039f5aceb093537,2026-03-31 17:00:33
Hide Away (Eve Duncan #20),Mystery,11.84,1,12,bddc6fd036eb6279,2026-03-31 17:00:33
Boar Island (Anna Pigeon #19),Mystery,59.48,3,12,49b24c6a41b82bd2,2026-03-31 17:00:33
The Widow,Mystery,27.26,2,11,6159d8b187831770,2026-03-31 17:00:33
Playing with Fire,Mystery,13.71,3,11,05a61a3bd8ca4149,2026-03-31 17:00:33
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,7,9735c969c652dd89,2026-03-31 17:00:33
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,7,20789fb17b423c4c,2026-03-31 17:00:33
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,7,4e980425468708da,2026-03-31 17:00:33
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,6,2da5edf8b5776c9a,2026-03-31 17:00:33
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,6,6958de044cb28a84,2026-03-31 17:00:33
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,3,f06039c29b5891fa,2026-03-31 17:00:33
The Exiled,Mystery,43.45,3,3,dd003e904727281a,2026-03-31 17:00:33
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,3,1be6d3b121865edb,2026-03-31 17:00:33
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,3,588ba85ff11a3263,2026-03-31 17:00:33
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,3,b461cf238506c5b8,2026-03-31 17:00:33
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,1,b0913e67d38d5ed5,2026-03-31 17:00:33
The Girl You Lost,Mystery,12.29,5,1,4280ac3eab57aa5d,2026-03-31 17:00:33
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,1,ee61197edb882599,2026-03-31 17:00:33
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,1,95cdfd514098c38b,2026-03-31 17:00:33
1st to Die (Women's Murder Club #1),Mystery,53.98,1,1,f684a82adc49f011,2026-03-31 17:00:33
Tipping the Velvet,Historical Fiction,53.74,1,20,90fa61229261140a,2026-03-31 17:00:33
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,16,9beb96a2300109d7,2026-03-31 17:00:33
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,16,3a6fb983e2554023,2026-03-31 17:00:33
The House by the Lake,Historical Fiction,36.95,1,15,9287e238d7c3b06e,2026-03-31 17:00:33
Mrs. Houdini,Historical Fiction,30.25,5,15,a40723994f715420,2026-03-31 17:00:33
The Marriage of Opposites,Historical Fiction,28.08,4,14,52cf2a5933ec5d8f,2026-03-31 17:00:33
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,14,de4b403cb629a29f,2026-03-31 17:00:33
"Love, Lies and Spies",Historical Fiction,20.55,2,12,9546d537fbf99eb6,2026-03-31 17:00:33
A Paris Apartment,Historical Fiction,39.01,4,12,63343e287971bb0c,2026-03-31 17:00:33
Lilac Girls,Historical Fiction,17.28,2,11,bade9943ee01b63f,2026-03-31 17:00:33
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,7,24933c712f0bca2f,2026-03-31 17:00:33
The Invention of Wings,Historical Fiction,37.34,1,6,e6635f5b0a2c78db,2026-03-31 17:00:33
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,5,2e5b4ff08a75fd02,2026-03-31 17:00:33
The Passion of Dolssa,Historical Fiction,28.32,5,4,011674f4a3834b8d,2026-03-31 17:00:33
Girl With a Pearl Earring,Historical Fiction,26.77,1,4,5eff05e59f905a49,2026-03-31 17:00:33
Voyager (Outlander #3),Historical Fiction,21.07,5,3,7feac4000cbc5859,2026-03-31 17:00:33
The Red Tent,Historical Fiction,35.66,5,3,3c456328b04a8ee8,2026-03-31 17:00:33
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,3,476c7972e9b41891,2026-03-31 17:00:33
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,3,4a0a276409968a73,2026-03-31 17:00:33
Girl in the Blue Coat,Historical Fiction,46.83,2,3,41fc5dce044f16f5,2026-03-31 17:00:33
Between Shades of Gray,Historical Fiction,20.79,5,3,155e42df837ee5ff,2026-03-31 17:00:33
While You Were Mine,Historical Fiction,41.32,5,1,8ceb5c6aed2c5f8b,2026-03-31 17:00:33
The Secret Healer,Historical Fiction,34.56,3,1,38f776ab9118aed7,2026-03-31 17:00:33
Starlark,Historical Fiction,25.83,3,1,e25164e5b3fe208b,2026-03-31 17:00:33
Lost Among the Living,Historical Fiction,27.7,4,1,d510567580c8be52,2026-03-31 17:00:33
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,1,19fec36a1dfb4c16,2026-03-31 17:00:33
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,19,3b1c02bac2a429e6,2026-03-31 17:00:33
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,16,09555be379ad9253,2026-03-31 17:00:33
This One Summer,Sequential Art,19.49,4,16,51653ef291ab7ddc,2026-03-31 17:00:33
The Nameless City (The Nameless City #1),Sequential Art,38.16,4,16,7d385d34d12e60ff,2026-03-31 17:00:33
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,16,53a3d11bb568cc8b,2026-03-31 17:00:33
